incident_description,symptoms,possible_cause,probability,verification_command,troubleshooting_steps,severity,business_impact
Interface error counters increasing,CRC errors in interface logs,EMI interference,20,physical inspection,Reroute cable away from interference sources,Medium,Intermittent packet loss
Load balancer not distributing traffic,Uneven traffic distribution to servers,Health check misconfiguration,45,show lb health-check,Verify health check settings for backend servers,Medium,Degraded application performance
Load balancer not distributing traffic,Uneven traffic distribution to servers,Backend server down,35,show lb pool status,Check backend server health and connectivity,Medium,Degraded application performance
Load balancer not distributing traffic,Uneven traffic distribution to servers,Incorrect load balancing algorithm,20,show lb config,Review and adjust load balancing method,Medium,Degraded application performance
Server unreachable from network,Cannot ping or access server,Network interface down on server,50,show interface status,Check server NIC status and cabling,Critical,Application/service downtime
Switch interface error-disabled,Port automatically shut down,Port security violation,55,show interface status err-disabled,Identify violating MAC address and clear port security,High,Device disconnected from network
Switch interface error-disabled,Port automatically shut down,BPDU guard triggered,30,show spanning-tree,Check for unauthorized switch connected to port,High,Device disconnected from network
Switch interface error-disabled,Port automatically shut down,UDLD detected fault,15,show udld,Check fiber/cable for unidirectional link fault,High,Device disconnected from network
OSPF neighbor stuck in INIT state,Router not forming OSPF adjacency,Mismatched OSPF network type,45,show ip ospf neighbor,Ensure matching network type on both routers,High,Routing table incomplete
OSPF neighbor stuck in INIT state,Router not forming OSPF adjacency,Area ID mismatch,35,show ip ospf interface,Verify OSPF area IDs match on both sides,High,Routing table incomplete
OSPF neighbor stuck in INIT state,Router not forming OSPF adjacency,MTU mismatch,20,show interface mtu,Align MTU settings across the link,High,Routing table incomplete
Email server unreachable,Users cannot send or receive email,Mail server service down,50,telnet mailserver 25,Restart mail service; check server health,High,Business communication disrupted
Email server unreachable,Users cannot send or receive email,Firewall blocking SMTP,30,show firewall rules,Allow SMTP/IMAP ports through firewall,High,Business communication disrupted
Email server unreachable,Users cannot send or receive email,DNS MX record issue,20,nslookup -type=mx,Verify MX records point to correct mail server,High,Business communication disrupted
Wireless authentication failures,Users cannot connect to wifi,Incorrect wifi password entered,40,show wireless clients failed,Verify correct SSID password is being used,Low,Individual user cannot connect
Wireless authentication failures,Users cannot connect to wifi,RADIUS server unreachable,35,show radius statistics,Check RADIUS server connectivity and config,Medium,Multiple users cannot connect
Wireless authentication failures,Users cannot connect to wifi,Certificate expired,25,show wireless certificate,Renew expired wifi authentication certificate,Medium,Multiple users cannot connect
Switch stack member failure,One switch in stack not responding,Stack cable disconnected,50,show switch stack-ports,Check and reseat stack cabling,High,Reduced switch capacity
Switch stack member failure,One switch in stack not responding,Faulty stack member hardware,35,show switch,Replace faulty stack member unit,High,Reduced switch capacity
Switch stack member failure,One switch in stack not responding,Firmware version mismatch,15,show version,Update firmware to match stack master version,High,Reduced switch capacity
Print server not responding,Users cannot print documents,Print spooler service crashed,50,show services,Restart print spooler service,Low,Printing unavailable office-wide
Print server not responding,Users cannot print documents,Network path to printer down,30,ping printer_ip,Check network connectivity to printer,Low,Printing unavailable office-wide
Print server not responding,Users cannot print documents,Print queue overloaded,20,show print queue,Clear stuck print jobs from queue,Low,Printing unavailable office-wide
High latency on WAN link,Slow response for remote sites,Bandwidth saturation,50,show interface wan utilization,Implement QoS or increase bandwidth,Medium,Remote site performance degraded
High latency on WAN link,Slow response for remote sites,ISP routing issue,30,traceroute remote_site,Contact ISP to investigate routing path,Medium,Remote site performance degraded
High latency on WAN link,Slow response for remote sites,MTU/fragmentation issue,20,ping with size,Adjust MTU settings to prevent fragmentation,Medium,Remote site performance degraded
Switch temperature warning,Switch reporting high temperature alarm,Blocked or failed cooling fan,55,show environment temperature,Check and clear fan vents; replace faulty fan,Medium,Risk of thermal shutdown
Switch temperature warning,Switch reporting high temperature alarm,Poor rack ventilation,30,physical inspection,Improve rack airflow and cooling,Medium,Risk of thermal shutdown
Switch temperature warning,Switch reporting high temperature alarm,Overloaded switch chassis,15,show environment,Redistribute load across additional switches,Medium,Risk of thermal shutdown
Router interface down after config change,Connectivity lost after maintenance,Interface accidentally shut down,60,show interface status,Verify interface is not administratively shut down,Critical,Site disconnected after change
Switch unable to boot,Switch stuck in boot loop,Corrupted firmware image,50,show version,Reflash firmware from TFTP or USB recovery,Critical,Device completely offline
Switch unable to boot,Switch stuck in boot loop,Failed hardware component,35,show diagnostic,Run hardware diagnostics; RMA if faulty,Critical,Device completely offline
Switch unable to boot,Switch stuck in boot loop,Corrupted configuration file,15,show startup-config,Reset to factory defaults and reconfigure,Critical,Device completely offline
IP address conflict detected,Duplicate IP address warning on device,Static IP manually assigned in DHCP range,55,show ip conflict,Move static IP outside DHCP scope or reserve it,Medium,Intermittent connectivity for affected device
IP address conflict detected,Duplicate IP address warning on device,DHCP lease not released properly,30,show ip dhcp binding,Clear stale DHCP lease and renew,Medium,Intermittent connectivity for affected device
IP address conflict detected,Duplicate IP address warning on device,Rogue device using static IP,15,arp -a,Identify and reconfigure conflicting device,Medium,Intermittent connectivity for affected device
Multicast traffic not forwarding,IPTV or streaming service not working,IGMP snooping disabled,50,show ip igmp snooping,Enable IGMP snooping on switch,Medium,Streaming/broadcast service unavailable
Multicast traffic not forwarding,IPTV or streaming service not working,PIM not configured on router,35,show ip pim interface,Configure PIM on multicast-enabled interfaces,Medium,Streaming/broadcast service unavailable
Multicast traffic not forwarding,IPTV or streaming service not working,Multicast routing disabled globally,15,show ip multicast-routing,Enable multicast routing on the router,Medium,Streaming/broadcast service unavailable
Switch port speed negotiation failure,Connected device gets wrong link speed,Auto-negotiation disabled on one end,55,show interface status,Enable auto-negotiation on both ends,Medium,Reduced throughput on affected link
Switch port speed negotiation failure,Connected device gets wrong link speed,Faulty network cable,30,show interface counters errors,Replace cable and retest,Medium,Reduced throughput on affected link
Switch port speed negotiation failure,Connected device gets wrong link speed,Incompatible NIC driver on device,15,check device drivers,Update network adapter driver on end device,Medium,Reduced throughput on affected link
Guest wifi network down,Guest users cannot access wifi,Guest VLAN misconfigured,45,show vlan brief,Verify guest VLAN configuration and tagging,Low,Guest users cannot access internet
Guest wifi network down,Guest users cannot access wifi,Captive portal service down,35,show wireless guest-portal,Restart captive portal authentication service,Low,Guest users cannot access internet
Guest wifi network down,Guest users cannot access wifi,Bandwidth cap misconfigured,20,show wireless qos,Review and adjust guest bandwidth limits,Low,Guest users cannot access internet
Switch CPU spike during backup window,Network slowdown during scheduled backups,Backup traffic saturating uplink,50,show interface utilization,Schedule backups during off-peak hours,Medium,Temporary network-wide slowdown
Switch CPU spike during backup window,Network slowdown during scheduled backups,QoS not prioritizing critical traffic,35,show qos policy,Configure QoS to prioritize business traffic,Medium,Temporary network-wide slowdown
Switch CPU spike during backup window,Network slowdown during scheduled backups,Insufficient uplink bandwidth,15,show interface status,Upgrade uplink capacity between switches,Medium,Temporary network-wide slowdown
Remote desktop connection failing,Users cannot RDP into servers,RDP port blocked by firewall,50,show firewall rules,Allow TCP 3389 through firewall for authorized IPs,Medium,Remote work disrupted
Remote desktop connection failing,Users cannot RDP into servers,Target server RDP service stopped,35,show services,Restart Remote Desktop Services on target server,Medium,Remote work disrupted
Remote desktop connection failing,Users cannot RDP into servers,Account lockout policy triggered,15,show account status,Unlock user account and reset password,Medium,Remote work disrupted
Switch not learning MAC addresses,Devices on port cannot communicate,MAC address table full,50,show mac address-table count,Clear MAC table or increase table size,High,Multiple devices lose connectivity
Switch not learning MAC addresses,Devices on port cannot communicate,Port set to static MAC only,30,show mac address-table,Change port MAC learning mode to dynamic,High,Multiple devices lose connectivity
Switch not learning MAC addresses,Devices on port cannot communicate,VLAN not associated with port,20,show interface switchport,Correctly assign VLAN to interface,High,Multiple devices lose connectivity
Core router memory exhaustion,Router performance degrading over time,Memory leak in running process,55,show processes memory,Restart affected process or reload router,Critical,Risk of complete router failure
Core router memory exhaustion,Router performance degrading over time,Too many BGP routes in table,30,show ip bgp summary,Filter unnecessary BGP routes; increase memory,Critical,Risk of complete router failure
Core router memory exhaustion,Router performance degrading over time,Outdated firmware with known memory bug,15,show version,Upgrade to stable firmware release,Critical,Risk of complete router failure
Switch unable to reach management VLAN,Cannot SSH or access switch remotely,Management VLAN not tagged correctly,50,show vlan brief,Correct management VLAN tagging on uplink,High,Cannot remotely manage device
Switch unable to reach management VLAN,Cannot SSH or access switch remotely,ACL blocking management access,30,show access-lists,Allow management traffic in ACL,High,Cannot remotely manage device
Switch unable to reach management VLAN,Cannot SSH or access switch remotely,SSH service disabled,20,show ip ssh,Enable SSH service on the switch,High,Cannot remotely manage device
Voice quality issues on VoIP calls,Choppy or dropped VoIP calls,Insufficient QoS prioritization for voice,50,show qos voice,Configure QoS to prioritize voice traffic,Medium,Poor call quality affecting business
Voice quality issues on VoIP calls,Choppy or dropped VoIP calls,Network jitter or packet loss,35,show interface statistics,Investigate and resolve packet loss source,Medium,Poor call quality affecting business
Voice quality issues on VoIP calls,Choppy or dropped VoIP calls,Bandwidth contention with data traffic,15,show interface utilization,Separate voice VLAN from data VLAN,Medium,Poor call quality affecting business
Switch config not saving after reload,Configuration changes lost after reboot,Changes not saved to startup-config,60,show running-config vs startup-config,Run write memory / copy run start after changes,Medium,Repeated manual reconfiguration needed
Switch config not saving after reload,Configuration changes lost after reboot,NVRAM corruption,25,show nvram,Format and reinitialize NVRAM if corrupted,Medium,Repeated manual reconfiguration needed
Switch config not saving after reload,Configuration changes lost after reboot,Insufficient NVRAM space,15,show nvram usage,Clear old config backups from NVRAM,Medium,Repeated manual reconfiguration needed
Access point not broadcasting SSID,Wifi network name not visible to users,SSID broadcast disabled in config,50,show wireless ssid,Enable SSID broadcast on the access point,Medium,Users cannot find wifi network
Access point not broadcasting SSID,Wifi network name not visible to users,AP radio disabled,30,show wireless radio status,Enable radio interface on access point,Medium,Users cannot find wifi network
Access point not broadcasting SSID,Wifi network name not visible to users,AP not associated with controller,20,show wireless ap status,Re-associate AP with wireless controller,Medium,Users cannot find wifi network
Switch experiencing broadcast storm,Network flooded with broadcast traffic,Storm control not configured,50,show storm-control,Enable storm control thresholds on switch ports,Critical,Network-wide performance degradation
Switch experiencing broadcast storm,Network flooded with broadcast traffic,Faulty NIC flooding broadcasts,35,show interface counters broadcast,Identify and disconnect faulty device,Critical,Network-wide performance degradation
Switch experiencing broadcast storm,Network flooded with broadcast traffic,Network loop bypassing STP,15,show spanning-tree,Trace and remove the physical loop,Critical,Network-wide performance degradation
Firewall CPU running high,Firewall slow to process traffic,Too many active connections,45,show connections count,Review and tune connection limits,High,Slow application access for all users
Firewall CPU running high,Firewall slow to process traffic,Deep packet inspection overloading CPU,35,show dpi statistics,Adjust DPI policy scope or upgrade hardware,High,Slow application access for all users
Firewall CPU running high,Firewall slow to process traffic,Under DDoS attack,20,show traffic statistics,Enable DDoS protection and rate limiting,High,Slow application access for all users
Site-to-site VPN intermittent drops,VPN tunnel drops and reconnects repeatedly,Dead peer detection timeout too aggressive,45,show crypto session,Adjust DPD timers to be less sensitive,High,Intermittent remote site connectivity
Site-to-site VPN intermittent drops,VPN tunnel drops and reconnects repeatedly,Unstable underlying internet connection,35,show interface wan status,Check ISP link stability at both ends,High,Intermittent remote site connectivity
Site-to-site VPN intermittent drops,VPN tunnel drops and reconnects repeatedly,NAT-T not properly configured,20,show crypto isakmp sa,Enable and verify NAT traversal settings,High,Intermittent remote site connectivity
Switch power over ethernet not working,Connected device not receiving power via PoE,PoE budget exceeded on switch,50,show power inline,Reduce PoE load or upgrade power supply,Medium,Connected device (phone/camera) offline
Switch power over ethernet not working,Connected device not receiving power via PoE,PoE not enabled on port,30,show interface poe status,Enable PoE on the specific interface,Medium,Connected device (phone/camera) offline
Switch power over ethernet not working,Connected device not receiving power via PoE,Faulty PoE injector or cable,20,physical inspection,Test with known-good PoE cable/injector,Medium,Connected device (phone/camera) offline
Network monitoring system not receiving SNMP data,No metrics showing in monitoring dashboard,SNMP service disabled on device,50,show snmp status,Enable SNMP service and community strings,Low,Loss of network visibility for monitoring
Network monitoring system not receiving SNMP data,No metrics showing in monitoring dashboard,Firewall blocking SNMP traffic,35,show firewall rules,Allow UDP 161/162 through firewall,Low,Loss of network visibility for monitoring
Network monitoring system not receiving SNMP data,No metrics showing in monitoring dashboard,Incorrect SNMP community string,15,show running-config snmp,Correct SNMP community string configuration,Low,Loss of network visibility for monitoring
Switch showing unexpected reboot in logs,Switch reboots without warning,Power supply instability,45,show environment power,Test power supply under load; replace if failing,High,Unplanned outages affecting connected devices
Switch showing unexpected reboot in logs,Switch reboots without warning,Software crash from bug,35,show crashinfo,Update to stable firmware version,High,Unplanned outages affecting connected devices
Switch showing unexpected reboot in logs,Switch reboots without warning,Overheating triggering safety shutdown,20,show environment temperature,Improve cooling and check fan operation,High,Unplanned outages affecting connected devices
Load balancer SSL certificate errors,Users see security warnings on website,SSL certificate expired,55,show ssl certificate,Renew and reinstall SSL certificate,High,Customer-facing security warnings
Load balancer SSL certificate errors,Users see security warnings on website,Certificate chain incomplete,30,show ssl chain,Install complete certificate chain including intermediates,High,Customer-facing security warnings
Load balancer SSL certificate errors,Users see security warnings on website,Certificate domain mismatch,15,show ssl certificate domain,Verify certificate matches the site domain,High,Customer-facing security warnings
Switch unable to negotiate trunk with neighbor,Trunk link not forming between switches,DTP mode mismatch,50,show interface trunk,Set matching trunk mode (on/desirable) both ends,High,VLAN traffic not passing between switches
Switch unable to negotiate trunk with neighbor,Trunk link not forming between switches,Encapsulation type mismatch,35,show interface switchport,Match trunk encapsulation (dot1q) on both ends,High,VLAN traffic not passing between switches
Switch unable to negotiate trunk with neighbor,Trunk link not forming between switches,VTP domain mismatch,15,show vtp status,Align VTP domain name on both switches,High,VLAN traffic not passing between switches
Backup server storage full,Scheduled backups failing to complete,Disk space exhausted on backup server,55,show disk usage,Free up space or expand backup storage,High,Data protection at risk
Backup server storage full,Scheduled backups failing to complete,Old backups not being purged,30,show backup retention policy,Configure automatic retention and cleanup policy,High,Data protection at risk
Backup server storage full,Scheduled backups failing to complete,Backup job misconfigured to wrong target,15,show backup job config,Correct backup destination configuration,High,Data protection at risk
Switch showing high discard rate on interface,Packets being dropped on specific port,Output queue congestion,50,show interface queue,Increase buffer size or apply QoS shaping,Medium,Application slowness for connected users
Switch showing high discard rate on interface,Packets being dropped on specific port,Rate limiting policy too aggressive,30,show interface policy-map,Adjust or remove overly strict rate limits,Medium,Application slowness for connected users
Switch showing high discard rate on interface,Packets being dropped on specific port,Oversubscribed uplink,20,show interface utilization,Upgrade uplink or redistribute traffic load,Medium,Application slowness for connected users
Domain controller replication failure,Active Directory changes not syncing between sites,Network connectivity between DCs down,50,repadmin /showrepl,Verify network path between domain controllers,Critical,User authentication inconsistencies across sites
Domain controller replication failure,Active Directory changes not syncing between sites,DNS resolution failure for DC names,35,nslookup dc_hostname,Fix DNS records for domain controllers,Critical,User authentication inconsistencies across sites
Domain controller replication failure,Active Directory changes not syncing between sites,Replication service stopped,15,show services,Restart Active Directory replication service,Critical,User authentication inconsistencies across sites
Switch reporting duplex mismatch errors,Slow performance and errors on link,"One side set to full duplex, other to half",55,show interface duplex,Set both ends to matching duplex mode,Medium,Degraded throughput on affected link
Switch reporting duplex mismatch errors,Slow performance and errors on link,Auto-negotiation failure,30,show interface status,Force matching speed/duplex manually if needed,Medium,Degraded throughput on affected link
Switch reporting duplex mismatch errors,Slow performance and errors on link,Damaged cable causing signal issues,15,show interface counters errors,Replace the network cable,Medium,Degraded throughput on affected link
